Epoch,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10,Class_11,Class_12,Class_13,Class_14,Class_15,Class_16,Class_17,Class_18,Class_19,Class_20,Class_21,Class_22,Class_23,Class_24,Class_25,Class_26,Class_27,Class_28,Class_29,Class_30,Class_31,Class_32,Class_33,Class_34,Class_35,Class_36,Class_37,Class_38,Class_39,Class_40,Class_41,Class_42,Class_43,Class_44,Class_45,Class_46,Class_47,Class_48,Class_49,Class_50,Class_51,Class_52,Class_53,Class_54,Class_55,Class_56,Class_57,Class_58,Class_59,Class_60,Class_61,Class_62,Class_63,Class_64,Class_65,Class_66,Class_67,Class_68,Class_69,Class_70,Class_71,Class_72,Class_73,Class_74,Class_75,Class_76,Class_77,Class_78,Class_79,Class_80,Class_81,Class_82,Class_83,Class_84,Class_85,Class_86,Class_87,Class_88,Class_89,Class_90,Class_91,Class_92,Class_93,Class_94,Class_95,Class_96,Class_97,Class_98,Class_99,Class_100,Class_101,Class_102,Class_103
1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,0.7703627943992615,0.0010879338951781392,0.0,0.5476903319358826,0.20403695106506348,0.46237045526504517,0.7385093569755554,0.0,0.35003119707107544,0.0032081236131489277,0.37837836146354675,0.1439094841480255,0.33356973528862,0.3255513310432434,0.3278701603412628,0.3919302523136139,0.06165023893117905,0.35557517409324646,0.037795525044202805,0.0,0.0,0.43176403641700745,0.2292620688676834,0.0,0.5060546398162842,0.4405806362628937,0.0,0.0028557213954627514,0.39565786719322205,0.6759498715400696,0.6399092078208923,0.2033470869064331,0.6067014336585999,0.3542434871196747,0.01356550958007574,0.29900386929512024,0.45482051372528076,0.610207200050354,0.07811807096004486,0.6385229229927063,0.4242231249809265,0.6431846618652344,0.6405818462371826,0.0,0.34494826197624207,0.08561389893293381,0.36567777395248413,0.07812894880771637,0.4095555543899536,0.22121426463127136,0.2241707742214203,0.058606989681720734,0.33768224716186523,0.371524453163147,0.3258930444717407,0.6339653730392456,0.5750380754470825,0.20612362027168274,0.5205400586128235,0.7506043314933777,0.0,0.30797699093818665,0.04128003492951393,0.04349569231271744,0.45329388976097107,0.475434809923172,0.6683629155158997,0.4088631868362427,0.32700347900390625,0.011290785856544971,0.5023247003555298,0.34297633171081543,0.5979718565940857,0.6423469185829163,0.0,0.0,0.046794161200523376,0.25861239433288574,0.033494409173727036,0.6029500961303711,0.45518407225608826,0.3087151348590851,0.5704054236412048,0.0516776368021965,0.6660638451576233,0.6762720942497253,0.0,0.7876477241516113,0.5774486660957336,0.40351369976997375,0.3439156115055084,0.4744053781032562,0.014285631477832794,0.33669939637184143,0.3931780457496643,0.7031793594360352,0.6680899858474731,0.0,0.1880664825439453,0.0,0.0,0.19677183032035828,0.0,0.02302136830985546
6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,0.7818171381950378,0.5010209679603577,0.0,0.6049253940582275,0.2160457968711853,0.48385006189346313,0.750523567199707,0.0,0.32880011200904846,0.12973611056804657,0.4006403684616089,0.14186038076877594,0.2925416827201843,0.23008781671524048,0.2408961057662964,0.31578677892684937,0.06875067204236984,0.4288194477558136,0.4039427936077118,0.12124201655387878,0.04773206263780594,0.6652111411094666,0.3371744453907013,0.0,0.5054632425308228,0.4462283253669739,0.0,0.25301769375801086,0.4415023624897003,0.6453775763511658,0.664250910282135,0.42433086037635803,0.6161071062088013,0.42925554513931274,0.19345149397850037,0.5121824741363525,0.48152247071266174,0.6563675403594971,0.24115252494812012,0.6739002466201782,0.3602668344974518,0.6606971621513367,0.5652011632919312,0.0,0.5500743985176086,0.3960607647895813,0.45082151889801025,0.14002834260463715,0.43329092860221863,0.24287621676921844,0.21959201991558075,0.17996014654636383,0.35885804891586304,0.44535523653030396,0.346357136964798,0.5792458653450012,0.512798547744751,0.32287129759788513,0.5402957201004028,0.7931761741638184,0.0,0.2915172874927521,0.27089065313339233,0.42118990421295166,0.5923445224761963,0.5854801535606384,0.6909379959106445,0.43964943289756775,0.34098294377326965,0.0061740330420434475,0.5579666495323181,0.5916262865066528,0.5886013507843018,0.6879096627235413,0.0,0.16353203356266022,0.3101145923137665,0.25451740622520447,0.6362852454185486,0.532959520816803,0.41858142614364624,0.5485571026802063,0.6102634072303772,0.21327172219753265,0.6999877095222473,0.6937774419784546,0.0,0.8018705248832703,0.6149751543998718,0.43596357107162476,0.512273371219635,0.45227402448654175,0.24517273902893066,0.37960660457611084,0.4255259037017822,0.7573142051696777,0.677107036113739,0.0,0.14025701582431793,0.001992500154301524,0.0,0.24096451699733734,0.22337980568408966,0.016337182372808456
